County,20-29,30-39,40-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,"Male (rate: 246.2/100,000)","Female (rate: 175.1/100,000)","Total people with PD (rate: 210.1/100,000)"
Carlow,0,0,1,2,4,7,12,16,17,15,12,70,50,120
Dublin ,4,11,27,51,90,153,254,353,398,373,297,1621,1210,2831
Kildare,0,2,5,9,15,25,40,51,46,38,32,272,195,467
Kilkenny,0,1,2,4,8,13,22,31,32,30,25,122,86,208
Laois,0,1,2,3,6,10,16,22,21,20,16,105,73,178
Longford,0,0,1,2,3,6,10,13,12,13,10,51,35,86
Louth,0,1,3,5,9,15,26,36,37,33,26,157,114,271
Meath,0,1,4,8,13,22,36,48,45,39,32,238,172,410
Offaly,0,1,2,3,6,10,17,23,25,23,18,96,68,164
Westmeath,0,1,2,4,6,11,18,25,27,25,19,109,78,187
Wexford,0,1,3,7,12,20,35,50,53,46,34,182,132,314
Wicklow,0,1,3,6,11,18,31,43,42,36,28,173,126,299
Clare,0,1,3,5,9,17,30,39,39,35,29,145,105,250
Cork,1,4,11,23,40,69,116,161,173,165,126,661,480,1141
Kerry,0,1,3,7,13,23,41,56,57,51,40,180,130,310
Limerick ,0,1,4,8,15,26,45,61,64,57,43,240,169,409
Tipperary,0,1,3,7,13,23,38,53,56,55,43,196,139,335
Waterford,0,1,2,5,9,16,28,39,41,38,28,142,102,244
Galway City,1,2,5,10,19,34,55,76,80,76,64,314,228,542
Leitrim,0,0,1,1,3,5,8,11,12,12,11,40,28,68
Mayo,0,1,3,6,11,21,37,49,52,50,42,160,114,274
Roscommon,0,0,1,3,5,10,16,23,24,25,22,80,56,136
Sligo,0,0,1,3,5,10,17,23,24,23,20,80,58,138
Cavan,0,1,2,3,6,10,17,22,23,24,20,94,66,160
Donegal,0,1,3,7,12,22,39,56,59,52,44,195,139,334
Monaghan,0,0,1,3,5,8,14,18,19,20,16,76,53,129
All counties,6,35,98,195,348,604,1018,1398,1478,1374,1097,5799,4206,10005